x u
4.261896800000000152e-01 2.212050999999999945e+01
4.297944699999999840e-01 2.214578200000000052e+01
4.334082699999999844e-01 2.217093500000000006e+01
4.370311499999999794e-01 2.219596500000000106e+01
4.406630200000000164e-01 2.222087300000000099e+01
4.443038599999999949e-01 2.224568199999999862e+01
4.479536599999999757e-01 2.227039500000000061e+01
4.516123799999999799e-01 2.229501199999999983e+01
4.552800499999999917e-01 2.231952700000000078e+01
4.589565899999999976e-01 2.234394299999999944e+01
4.626419900000000029e-01 2.236825800000000086e+01
4.663362500000000077e-01 2.239248299999999858e+01
4.700393099999999880e-01 2.241663399999999839e+01
4.737511600000000045e-01 2.244071399999999983e+01
4.774718299999999860e-01 2.246471599999999924e+01
4.812012299999999798e-01 2.248863599999999963e+01
4.849393399999999965e-01 2.251247800000000154e+01
4.886861800000000255e-01 2.253624699999999947e+01
4.924417400000000167e-01 2.255994600000000005e+01
4.962059500000000067e-01 2.258355099999999993e+01
4.999788399999999799e-01 2.260704199999999986e+01
5.037603400000000287e-01 2.263041700000000134e+01
5.075504600000000366e-01 2.265368099999999885e+01
5.113491700000000195e-01 2.267683800000000005e+01
5.151564699999999775e-01 2.269988599999999934e+01
5.189723499999999712e-01 2.272282399999999924e+01
5.227967000000000031e-01 2.274564200000000014e+01
5.266296400000000100e-01 2.276833299999999838e+01
5.304710400000000048e-01 2.279089000000000098e+01
5.343209100000000378e-01 2.281331300000000084e+01
5.381792399999999477e-01 2.283561299999999861e+01
5.420460400000000067e-01 2.285779399999999839e+01
5.459213099999999930e-01 2.287985400000000169e+01
5.498049200000000303e-01 2.290179399999999887e+01
5.536969299999999761e-01 2.292361500000000163e+01
5.575972900000000232e-01 2.294531399999999977e+01
5.615059900000000104e-01 2.296688699999999983e+01
5.654230399999999879e-01 2.298832700000000173e+01
5.693484300000000164e-01 2.300964000000000098e+01
5.732821000000000167e-01 2.303083200000000019e+01
5.772239900000000201e-01 2.305190999999999946e+01
5.811741700000000455e-01 2.307288399999999839e+01
5.851325699999999630e-01 2.309375000000000000e+01
5.890991899999999948e-01 2.311452099999999987e+01
5.930739800000000006e-01 2.313518699999999839e+01
5.970569199999999910e-01 2.315573300000000145e+01
6.010480299999999554e-01 2.317615100000000083e+01
6.050472900000000154e-01 2.319644500000000065e+01
6.090546000000000015e-01 2.321661900000000145e+01
6.130700000000000038e-01 2.323667000000000016e+01
6.170934500000000433e-01 2.325658999999999921e+01
6.211249300000000195e-01 2.327637899999999860e+01
6.251643999999999535e-01 2.329604300000000094e+01
6.292118399999999667e-01 2.331559800000000138e+01
6.332672599999999985e-01 2.333505399999999952e+01
6.373305299999999507e-01 2.335440600000000089e+01
6.414017300000000033e-01 2.337364000000000175e+01
6.454808399999999446e-01 2.339274800000000099e+01
6.495676799999999806e-01 2.341171800000000047e+01
6.536623900000000376e-01 2.343055499999999824e+01
6.577648900000000465e-01 2.344925299999999879e+01
6.618750599999999595e-01 2.346781700000000015e+01
6.659929100000000490e-01 2.348624799999999979e+01
6.701184900000000111e-01 2.350455300000000136e+01
6.742516200000000515e-01 2.352273800000000037e+01
6.783923699999999668e-01 2.354081000000000046e+01
6.825406600000000212e-01 2.355876400000000004e+01
6.866964500000000138e-01 2.357658199999999837e+01
6.908596700000000368e-01 2.359424399999999977e+01
6.950303199999999793e-01 2.361174400000000162e+01
6.992083399999999838e-01 2.362908200000000036e+01
7.033936699999999709e-01 2.364625500000000002e+01
7.075862499999999722e-01 2.366326000000000107e+01
7.117860700000000485e-01 2.368009599999999892e+01
7.159929600000000116e-01 2.369676400000000172e+01
7.202070299999999703e-01 2.371327600000000047e+01
7.244281099999999585e-01 2.372963299999999975e+01
7.286561400000000077e-01 2.374583099999999902e+01
7.328910400000000491e-01 2.376185399999999959e+01
7.371328299999999611e-01 2.377769299999999930e+01
7.413813700000000395e-01 2.379334100000000163e+01
7.456366199999999722e-01 2.380880200000000002e+01
7.498985000000000234e-01 2.382408099999999962e+01
7.541668999999999734e-01 2.383916299999999922e+01
7.584418200000000443e-01 2.385402500000000003e+01
7.627230099999999791e-01 2.386866799999999955e+01
7.670105999999999868e-01 2.388309299999999880e+01
7.713043400000000327e-01 2.389729900000000029e+01
7.756041700000000372e-01 2.391128700000000151e+01
7.799100199999999816e-01 2.392505500000000040e+01
7.842217900000000297e-01 2.393859899999999996e+01
7.885394000000000014e-01 2.395192300000000074e+01
7.928626800000000419e-01 2.396502900000000125e+01
7.971915499999999710e-01 2.397791499999999942e+01
8.015258499999999842e-01 2.399058000000000135e+01
8.058655700000000310e-01 2.400302699999999945e+01
8.102105299999999843e-01 2.401525900000000036e+01
8.145606100000000183e-01 2.402727700000000155e+01
8.189157299999999529e-01 2.403907799999999995e+01
8.232756700000000150e-01 2.405065700000000106e+01
8.276402999999999954e-01 2.406200799999999873e+01
8.320095600000000369e-01 2.407312599999999847e+01
8.363833299999999804e-01 2.408400699999999972e+01
8.407613600000000131e-01 2.409465399999999846e+01
8.451435899999999446e-01 2.410506200000000021e+01
8.495298399999999805e-01 2.411522099999999824e+01
8.539199899999999621e-01 2.412511599999999845e+01
8.583137899999999654e-01 2.413474100000000178e+01
8.627112500000000406e-01 2.414408699999999897e+01
8.671121200000000417e-01 2.415315199999999862e+01
8.715162100000000134e-01 2.416193600000000075e+01
8.759234099999999579e-01 2.417043899999999823e+01
8.803336000000000494e-01 2.417866899999999930e+01
8.847465899999999994e-01 2.418661900000000031e+01
8.891621899999999634e-01 2.419428800000000024e+01
8.935802400000000256e-01 2.420167899999999861e+01
8.980006499999999559e-01 2.420878400000000141e+01
9.024231999999999809e-01 2.421559299999999837e+01
9.068478199999999712e-01 2.422210099999999855e+01
9.112742700000000529e-01 2.422830400000000139e+01
9.157024200000000169e-01 2.423420899999999989e+01
9.201321000000000083e-01 2.423981900000000067e+01
9.245632400000000084e-01 2.424513800000000074e+01
9.289957100000000301e-01 2.425017199999999917e+01
9.334292899999999671e-01 2.425491299999999839e+01
9.378638299999999539e-01 2.425935899999999990e+01
9.422993600000000303e-01 2.426350800000000163e+01
9.467356700000000291e-01 2.426736299999999957e+01
9.511725899999999845e-01 2.427091800000000177e+01
9.556101200000000073e-01 2.427416399999999896e+01
9.600481400000000498e-01 2.427709799999999873e+01
9.644865299999999531e-01 2.427972000000000108e+01
9.689252200000000315e-01 2.428203600000000151e+01
9.733642099999999520e-01 2.428404600000000002e+01
9.778033299999999706e-01 2.428574800000000167e+01
9.822425000000000184e-01 2.428714400000000140e+01
9.866818600000000217e-01 2.428823999999999828e+01
9.911212200000000250e-01 2.428903000000000034e+01
9.955605800000000283e-01 2.428950499999999835e+01
1.000000000000000000e+00 2.428966099999999884e+01
